fold,true_label,VQC_angle_pred,final_train_cost,train_acc
1,Small_Cyst,Medium_Cyst,1.0787561313693457,0.7
2,Small_Cyst,Medium_Cyst,1.0024657639126358,0.45
3,Small_Cyst,Small_Cyst,1.1761961995752575,0.7
4,Small_Cyst,Medium_Cyst,1.0929354033143708,1.0
5,Small_Cyst,Small_Cyst,1.0295549799167978,0.7
6,Medium_Cyst,Large_Cyst,1.0657196101766362,0.75
7,Medium_Cyst,Large_Cyst,1.142342078853428,0.6
8,Medium_Cyst,Small_Cyst,1.0404805466033882,0.65
9,Medium_Cyst,Medium_Cyst,1.0899129621467685,0.75
10,Medium_Cyst,Large_Cyst,1.06311587535312,0.4
11,Large_Cyst,Medium_Cyst,1.1324433283149766,0.6
12,Large_Cyst,Medium_Cyst,1.1355810847587848,0.7
13,Large_Cyst,Small_Cyst,0.9886605104479941,0.5
14,MCT,MCT,1.180189894358337,0.55
15,MCT,MCT,1.1399781144255074,0.65
16,MCT,MCT,1.0926981090484977,0.7
17,MCT,Normal_Control,1.2201038477152446,0.65
18,MCT,MCT,0.9747162171760072,0.6
19,Normal_Control,MCT,0.9470452327082534,0.6
20,Normal_Control,MCT,1.0689391703017175,0.5
21,Normal_Control,MCT,1.0175785092263576,0.65
