fold,true_label,VQC_Large_Cyst,VQC_MCT,VQC_Medium_Cyst,VQC_Normal_Control,VQC_Small_Cyst
1,Small_Cyst,0.24502033028616327,0.11605540049662459,0.2523710439531405,0.1140894599394192,0.2724637653246525
2,Small_Cyst,0.23168340556976266,0.11423006641516956,0.26968899971991706,0.11379024976077559,0.2706072785343751
3,Small_Cyst,0.22123604338663252,0.1374930541115228,0.25603700535944995,0.12077224165379737,0.2644616554885973
4,Small_Cyst,0.15668291184784575,0.2160641179244322,0.17875727504730266,0.21915146429500448,0.22934423088541495
5,Small_Cyst,0.21835007982085802,0.1275835381559993,0.2674469073938215,0.12643325361618934,0.2601862210131319
6,Medium_Cyst,0.23809792406790162,0.106793923057284,0.2770984539686973,0.12258478111087702,0.25542491779523996
7,Medium_Cyst,0.2633560020992596,0.12201269867183291,0.254933715052071,0.11940022380943097,0.24029736036740554
8,Medium_Cyst,0.2706404827530398,0.13505006617075155,0.20578245375224924,0.13271139484321334,0.25581560248074603
9,Medium_Cyst,0.25679621940257363,0.10164360677279892,0.2648082349248745,0.11961994084883763,0.2571319980509154
10,Medium_Cyst,0.24711468227054562,0.11918507398902861,0.2712835232302282,0.11814752141333502,0.2442691990968626
11,Large_Cyst,0.25338687967728607,0.11503655444863974,0.2544823660673859,0.124201005096557,0.25289319471013133
12,Large_Cyst,0.26429604694595676,0.12802480305087324,0.23575386104309873,0.1157781534733904,0.25614713548668083
13,Large_Cyst,0.26242732801941365,0.12255321310997058,0.2530486736440203,0.11779070824098829,0.2441800769856072
14,MCT,0.1379759161606522,0.30935650742943027,0.13028003395028065,0.2826320511954608,0.13975549126417597
15,MCT,0.1215640532732061,0.3285046565786813,0.13161684708973168,0.29824995342134203,0.12006448963703899
16,MCT,0.1281920410224612,0.3184544964260568,0.13851362999926914,0.2724732927047604,0.14236653984745243
17,MCT,0.15138966510999366,0.29734398009677576,0.11778786791762581,0.29679369370787995,0.13668479316772475
18,MCT,0.12037376292270997,0.3056649250358558,0.1333693806168523,0.30236817872810445,0.13822375269647735
19,Normal_Control,0.11540222714804955,0.3323950378602891,0.11475925327347514,0.32415014663410396,0.11329333508408215
20,Normal_Control,0.12359248941357123,0.3007180267270661,0.11955923863005462,0.30892816744149304,0.14720207778781505
21,Normal_Control,0.12912752659512,0.3206167351072848,0.11139788467999917,0.3144367401348514,0.12442111348274475
